Item,Binomial (Alphabetical),word1,word2,Sentence (alphabetical),Sentence (nonalphabetical),Prime (alphabetical),Prime (nonalphabetical),Prime (unrelated),Questions
331,diagnosis and treatment,diagnosis,treatment,Marissa found that her diagnosis and treatment at the hospital were completely different from what she anticipated.,Marissa found that her treatment and diagnosis at the hospital were completely different from what she anticipated.,NA,NA,NA,NA
332,diagrams and sketches,diagrams,sketches,The architect had many diagrams and sketches to show her client.,The architect had many sketches and diagrams to show her client.,NA,NA,NA,NA
333,diamonds and rubies,diamonds,rubies,The pirates followed the treasure map to find that diamonds and rubies were hidden in the treasure chest.,The pirates followed the treasure map to find that rubies and diamonds were hidden in the treasure chest.,NA,NA,NA,NA
334,dirt and sweat,dirt,sweat,Mike needed to wash the dirt and sweat out of his soccer uniform.,Mike needed to wash the sweat and dirt out of his soccer uniform.,NA,NA,NA,NA
335,discontent and tearfulness,discontent,tearfulness,Julie suffered from discontent and tearfulness after hearing that she was laid off from her job.,Julie suffered from tearfulness and discontent after hearing that she was laid off from her job.,NA,NA,NA,NA
336,discontent and tearfulness,discontent,tearfulness,The athlete managed to keep training through the discontent and tearfulness of his early years.,The athlete managed to keep training through the tearfulness and discontent of his early years.,NA,NA,NA,NA
337,discontent and tearfulness,discontent,tearfulness,The doctor said that discontent and tearfulness are signs of depression.,The doctor said that tearfulness and discontent are signs of depression.,NA,NA,NA,NA
338,discretion and moderation,discretion,moderation,"There was an absence of discretion and moderation in the decision, which upset many people.","There was an absence of moderation and discretion in the decision, which upset many people.",NA,NA,NA,NA
339,discussion and thought,discussion,thought,A lot of discussion and thought went into making the decision to buy this house.,A lot of thought and discussion went into making the decision to buy this house.,NA,NA,NA,NA
340,disdain and indifference,disdain,indifference,"Nathan felt disdain and indifference towards Mark, so he avoided him.","Nathan felt indifference and disdain towards Mark, so he avoided him.",NA,NA,NA,NA
341,distress and pain,distress,pain,The couple's divorce caused a lot of distress and pain for the whole family.,The couple's divorce caused a lot of pain and distress for the whole family.,NA,NA,NA,NA
342,doctors and fathers,doctors,fathers,There were many doctors and fathers in the same room.,There were many fathers and doctors in the same room.,NA,NA,NA,NA
343,dogs and men,dogs,men,Her grandma joked that dogs and men had a lot in common.,Her grandma joked that men and dogs had a lot in common.,NA,NA,NA,NA
344,domination and influence,domination,influence,The player's domination and influence made them the obvious choice for captain of the team.,The player's influence and domination made them the obvious choice for captain of the team.,NA,NA,NA,NA
345,doorways and windows,doorways,windows,Bill wanted to fix the doorways and windows before moving into the new home.,Bill wanted to fix the windows and doorways before moving into the new home.,NA,NA,NA,NA
346,doubts and fears,doubts,fears,"She wanted to be a pop star, but her doubts and fears got in the way of her dream.","She wanted to be a pop star, but her fears and doubts got in the way of her dream.",NA,NA,NA,NA
347,doubts and suspicions,doubts,suspicions,The detective had doubts and suspicions about the suspect's alibi.,The detective had suspicions and doubts about the suspect's alibi.,NA,NA,NA,NA
348,dreams and plans,dreams,plans,She had dreams and plans to become a successful scientist.,She had plans and dreams to become a successful scientist.,NA,NA,NA,NA
349,drink and food,drink,food,"Although some drink and food were provided at the reception, there was not enough to go around.","Although some food and drink were provided at the reception, there was not enough to go around.",NA,NA,NA,NA
350,drink and food,drink,food,Many students were dismayed after drink and food were banned from classrooms.,Many students were dismayed after food and drink were banned from classrooms.,NA,NA,NA,NA
351,ducks and peanuts,ducks,peanuts,He was excited to go look at ducks and peanuts all day.,He was excited to go look at peanuts and ducks all day.,NA,NA,NA,NA
352,ducks and peanuts,ducks,peanuts,She couldn't believe how many ducks and peanuts were at the pond.,She couldn't believe how many peanuts and ducks were at the pond.,NA,NA,NA,NA
353,ducks and peanuts,ducks,peanuts,They saw many ducks and peanuts on their trip to the zoo.,They saw many peanuts and ducks on their trip to the zoo.,NA,NA,NA,NA
354,ears and eyes,ears,eyes,"Cleo said that her ears and eyes were bothering her, so she stayed home from work.","Cleo said that her eyes and ears were bothering her, so she stayed home from work.",NA,NA,NA,NA
355,ears and hair,ears,hair,Bill washed his ears and hair before going to bed.,Bill washed his hair and ears before going to bed.,NA,NA,NA,NA
356,earth and sky,earth,sky,Talking about the earth and sky was one of Randy's favorite things to do.,Talking about the sky and earth was one of Randy's favorite things to do.,NA,NA,NA,NA
357,east and west,east,west,Diane wrote a book about her travels east and west around the globe for a year.,Diane wrote a book about her travels west and east around the globe for a year.,NA,NA,NA,NA
358,east and west,east,west,Lena had lived in the east and west and loved both.,Lena had lived in the west and east and loved both.,NA,NA,NA,NA
359,east and west,east,west,The train tracks running east and west fell into disrepair as they became obsolete.,The train tracks running west and east fell into disrepair as they became obsolete.,NA,NA,NA,NA
360,economist and historian,economist,historian,He was surprised that both the economist and historian are named Jane Doe.,He was surprised that both the historian and economist are named Jane Doe.,NA,NA,NA,NA
361,editing and publishing,editing,publishing,The company did the editing and publishing for many well-known books.,The company did the publishing and editing for many well-known books.,NA,NA,NA,NA
362,editor and publisher,editor,publisher,"In order to finalize all the details, the editor and publisher wanted to have a meeting with the author of the book.","In order to finalize all the details, the publisher and editor wanted to have a meeting with the author of the book.",NA,NA,NA,NA
363,education and industrialization,education,industrialization,Tania read about the connection between education and industrialization in a chapter of her textbook.,Tania read about the connection between industrialization and education in a chapter of her textbook.,NA,NA,NA,NA
364,education and skill,education,skill,They had the education and skill to be a great professor.,They had the skill and education to be a great professor.,NA,NA,NA,NA
365,effort and resources,effort,resources,It would take a lot of effort and resources to put on this fundraiser.,It would take a lot of resources and effort to put on this fundraiser.,NA,NA,NA,NA
366,eggs and ham,eggs,ham,All she wanted to eat was eggs and ham but she didn't have either item in her refrigerator.,All she wanted to eat was ham and eggs but she didn't have either item in her refrigerator.,NA,NA,NA,NA
367,Egypt and Europe,Egypt,Europe,He wanted to visit Egypt and Europe once he had the time to travel.,He wanted to visit Europe and Egypt once he had the time to travel.,NA,NA,NA,NA
368,elbows and knees,elbows,knees,I hurt my elbows and knees when I fell off my longboard.,I hurt my knees and elbows when I fell off my longboard.,NA,NA,NA,NA
369,elegance and purity,elegance,purity,Her mom thought the dress exuded elegance and purity but Lauren did not agree.,Her mom thought the dress exuded purity and elegance but Lauren did not agree.,NA,NA,NA,NA
370,eloquence and force,eloquence,force,He admires his sister for the eloquence and force she has when dealing with difficult situations.,He admires his sister for the force and eloquence she has when dealing with difficult situations.,NA,NA,NA,NA
371,emotion and meaning,emotion,meaning,The singer put a lot of emotion and meaning into all of the songs they wrote.,The singer put a lot of meaning and emotion into all of the songs they wrote.,NA,NA,NA,NA
372,ends and odds,ends,odds,"The new restaurant was almost ready for the grand opening, but had a few ends and odds to deal with before the big night.","The new restaurant was almost ready for the grand opening, but had a few odds and ends to deal with before the big night.",NA,NA,NA,NA
373,energy and money,energy,money,Alice said that all of the energy and money that her car needed made her want to sell it.,Alice said that all of the money and energy that her car needed made her want to sell it.,NA,NA,NA,NA
374,engineers and scientists,engineers,scientists,There were a good number of engineers and scientists present at the conference.,There were a good number of scientists and engineers present at the conference.,NA,NA,NA,NA
375,English and German,English,German,The school held classes in both English and German so the students could be bilingual.,The school held classes in both German and English so the students could be bilingual.,NA,NA,NA,NA
376,enthusiasm and warmth,enthusiasm,warmth,Kristin appreciated Jack's enthusiasm and warmth so she spent a lot of time with him.,Kristin appreciated Jack's warmth and enthusiasm so she spent a lot of time with him.,NA,NA,NA,NA
377,equipment and personnel,equipment,personnel,The company had an appropriate amount of equipment and personnel in order to make sure everyone at the event would be safe.,The company had an appropriate amount of personnel and equipment in order to make sure everyone at the event would be safe.,NA,NA,NA,NA
378,error and trial,error,trial,Hal solved the math problem by error and trial because he couldn't remember the shortcut.,Hal solved the math problem by trial and error because he couldn't remember the shortcut.,NA,NA,NA,NA
379,error and trial,error,trial,Sometimes it feels like error and trial is the only way to learn.,Sometimes it feels like trial and error is the only way to learn.,NA,NA,NA,NA
380,error and trial,error,trial,"While all can agree that error and trial is effective, there are often better ways to solve problems.","While all can agree that trial and error is effective, there are often better ways to solve problems.",NA,NA,NA,NA
381,error and trial,error,trial,They dealt with a lot of error and trial before having a final product.,They dealt with a lot of trial and error before having a final product.,NA,NA,NA,NA
382,errors and omissions,errors,omissions,Rebecca went over the errors and omissions that occurred in the paper.,Rebecca went over the omissions and errors that occurred in the paper.,NA,NA,NA,NA
383,evening and morning,evening,morning,Victor plans on spending tomorrow evening and morning reading the new book he bought.,Victor plans on spending tomorrow morning and evening reading the new book he bought.,NA,NA,NA,NA
384,evenings and sundays,evenings,sundays,Carlos spends his evenings and sundays doing his favorite activities.,Carlos spends his sundays and evenings doing his favorite activities.,NA,NA,NA,NA
385,everybody and everything,everybody,everything,Noah loved everybody and everything in his college town.,Noah loved everything and everybody in his college town.,NA,NA,NA,NA
386,excitement and fatigue,excitement,fatigue,He felt both excitement and fatigue when spending the day at an amusement park.,He felt both fatigue and excitement when spending the day at an amusement park.,NA,NA,NA,NA
387,expense and time,expense,time,He said that the expense and time of maintaining the property was too much.,He said that the time and expense of maintaining the property was too much.,NA,NA,NA,NA
388,experiences and reactions,experiences,reactions,Randy said that her experiences and reactions made her quite the character.,Randy said that her reactions and experiences made her quite the character.,NA,NA,NA,NA
389,eyes and face,eyes,face,The instructions in the lab ask you cover your eyes and face when you operate any machinery.,The instructions in the lab ask you cover your face and eyes when you operate any machinery.,NA,NA,NA,NA
390,eyes and hair,eyes,hair,"In order to make your eyes and hair stand out, you should choose an appropriate outfit.","In order to make your hair and eyes stand out, you should choose an appropriate outfit.",NA,NA,NA,NA
391,face and figure,face,figure,The model's face and figure was highlighted in the magazine spread.,The model's figure and face was highlighted in the magazine spread.,NA,NA,NA,NA
392,factories and industries,factories,industries,Tristen worked in a variety of factories and industries before he was able to retire.,Tristen worked in a variety of industries and factories before he was able to retire.,NA,NA,NA,NA
393,facts and figures,facts,figures,Lauren needed to get her facts and figures straight before her business plan presentation.,Lauren needed to get her figures and facts straight before her business plan presentation.,NA,NA,NA,NA
394,facts and techniques,facts,techniques,She wanted to discuss different facts and techniques with her new boss.,She wanted to discuss different techniques and facts with her new boss.,NA,NA,NA,NA
395,fairness and moderation,fairness,moderation,Gino thought that fairness and moderation were concepts that should go together.,Gino thought that moderation and fairness were concepts that should go together.,NA,NA,NA,NA
396,faith and life,faith,life,He wanted to write a book about faith and life using many personal stories.,He wanted to write a book about life and faith using many personal stories.,NA,NA,NA,NA
397,faith and love,faith,love,He wrote songs about faith and love that he hoped to record for his next album.,He wrote songs about love and faith that he hoped to record for his next album.,NA,NA,NA,NA
398,fall and rise,fall,rise,I've gotten particularly ill due to the fall and rise of the waves out at sea.,I've gotten particularly ill due to the rise and fall of the waves out at sea.,NA,NA,NA,NA
399,fall and winter,fall,winter,In the months during fall and winter students tend to feel a bit sadder due to the cold and gloomy weather.,In the months during winter and fall students tend to feel a bit sadder due to the cold and gloomy weather.,NA,NA,NA,NA
400,family and neighborhood,family,neighborhood,She loved her family and neighborhood so she was sad about leaving for college.,She loved her neighborhood and family so she was sad about leaving for college.,NA,NA,NA,NA
401,farms and fields,farms,fields,Ron loved spending time at farms and fields because he loved being in nature.,Ron loved spending time at fields and farms because he loved being in nature.,NA,NA,NA,NA
402,father and mother,father,mother,"Because Stephanie was grounded, her father and mother would not permit her to go out with her friends.","Because Stephanie was grounded, her mother and father would not permit her to go out with her friends.",NA,NA,NA,NA
403,father and son,father,son,Eric enjoys going to the movies with his father and son so much that he decided to make it a weekly tradition for them.,Eric enjoys going to the movies with his son and father so much that he decided to make it a weekly tradition for them.,NA,NA,NA,NA
404,father and uncle,father,uncle,She took her father and uncle out to dinner to celebrate their birthdays.,She took her uncle and father out to dinner to celebrate their birthdays.,NA,NA,NA,NA
405,fathers and mothers,fathers,mothers,The community center had summer camps for fathers and mothers to send their kids to while they worked.,The community center had summer camps for mothers and fathers to send their kids to while they worked.,NA,NA,NA,NA
406,fauna and flora,fauna,flora,An extensive list of the Amazon's fauna and flora would span thousands of pages.,An extensive list of the Amazon's flora and fauna would span thousands of pages.,NA,NA,NA,NA
407,fauna and flora,fauna,flora,It is important to study both the fauna and flora in a region in order to fully understand the ecosystem.,It is important to study both the flora and fauna in a region in order to fully understand the ecosystem.,NA,NA,NA,NA
408,fauna and flora,fauna,flora,She had a hobby of studying fauna and flora in her spare time.,She had a hobby of studying flora and fauna in her spare time.,NA,NA,NA,NA
409,fear and relief,fear,relief,Mary felt both fear and relief about graduating from high school.,Mary felt both relief and fear about graduating from high school.,NA,NA,NA,NA
410,feelings and thoughts,feelings,thoughts,"Whenever Pat was frustrated, her feelings and thoughts got muddled and she couldn't make any decisions.","Whenever Pat was frustrated, her thoughts and feelings got muddled and she couldn't make any decisions.",NA,NA,NA,NA
411,feet and hands,feet,hands,The child's feet and hands were numb from playing in the snow.,The child's hands and feet were numb from playing in the snow.,NA,NA,NA,NA
412,feet and heads,feet,heads,Amy thinks that the feet and heads of the kittens are so cute.,Amy thinks that the heads and feet of the kittens are so cute.,NA,NA,NA,NA
413,feet and legs,feet,legs,The soccer player injured their feet and legs during a very intense game.,The soccer player injured their legs and feet during a very intense game.,NA,NA,NA,NA
414,felines and quails,felines,quails,My favorite animals have been felines and quails ever since I was a kid.,My favorite animals have been quails and felines ever since I was a kid.,NA,NA,NA,NA
415,felines and quails,felines,quails,The zoologist took time to document the variety of felines and quails in the area.,The zoologist took time to document the variety of quails and felines in the area.,NA,NA,NA,NA
416,felines and quails,felines,quails,There were always felines and quails in the woods behind my house.,There were always quails and felines in the woods behind my house.,NA,NA,NA,NA
417,female and male,female,male,The dog breeder has female and male puppies coming up for sale soon.,The dog breeder has male and female puppies coming up for sale soon.,NA,NA,NA,NA
418,fiction and poetry,fiction,poetry,Maddy liked to read fiction and poetry in her spare time.,Maddy liked to read poetry and fiction in her spare time.,NA,NA,NA,NA
419,field and stream,field,stream,"There was a field and stream near his house, which made him very happy.","There was a stream and field near his house, which made him very happy.",NA,NA,NA,NA
420,fields and homes,fields,homes,"There were plenty of fields and homes in the town, which made it an ideal place for families.","There were plenty of homes and fields in the town, which made it an ideal place for families.",NA,NA,NA,NA
421,figures and words,figures,words,Hannah used figures and words to explain her findings.,Hannah used words and figures to explain her findings.,NA,NA,NA,NA
422,file and rank,file,rank,Olivia's task was to file and rank the data her boss provided her.,Olivia's task was to rank and file the data her boss provided her.,NA,NA,NA,NA
423,fingers and mouth,fingers,mouth,Both her fingers and mouth were dirty from eating ribs.,Both her mouth and fingers were dirty from eating ribs.,NA,NA,NA,NA
424,fingers and thumb,fingers,thumb,Demi broke her fingers and thumb when she fell while roller skating.,Demi broke her thumb and fingers when she fell while roller skating.,NA,NA,NA,NA
425,fire and light,fire,light,"According to Mandy, the lack of fire and light ruined the evening's ambiance.","According to Mandy, the lack of light and fire ruined the evening's ambiance.",NA,NA,NA,NA
426,fire and police,fire,police,Both the fire and police departments put on a barbeque for the community.,Both the police and fire departments put on a barbeque for the community.,NA,NA,NA,NA
427,firepower and speed,firepower,speed,Christopher liked the firepower and speed of the car he was test driving.,Christopher liked the speed and firepower of the car he was test driving.,NA,NA,NA,NA
428,first and ninety-eighth,first,ninety-eighth,"He had a multitude of ideas, though all but the first and ninety-eighth were terrible.","He had a multitude of ideas, though all but the ninety-eighth and first were terrible.",NA,NA,NA,NA
429,first and ninety-eighth,first,ninety-eighth,"The couple got separated during their Black Friday shopping, and ended up being the first and ninety-eighth people in line.","The couple got separated during their Black Friday shopping, and ended up being the ninety-eighth and first people in line.",NA,NA,NA,NA
430,first and ninety-eighth,first,ninety-eighth,The finalists in the tennis championship were ranked first and ninety-eighth in the world prior to the tournament.,The finalists in the tennis championship were ranked ninety-eighth and first in the world prior to the tournament.,NA,NA,NA,NA
431,fish and vegetable,fish,vegetable,He wanted to make a fish and vegetable soup that would impress his family.,He wanted to make a vegetable and fish soup that would impress his family.,NA,NA,NA,NA
432,flame and smoke,flame,smoke,"He noticed the flame and smoke coming from his neighbor's house, so he called the fire department.","He noticed the smoke and flame coming from his neighbor's house, so he called the fire department.",NA,NA,NA,NA
433,flames and smoke,flames,smoke,"Down the street, you could see the flames and smoke from the house that was on fire.","Down the street, you could see the smoke and flames from the house that was on fire.",NA,NA,NA,NA
434,flames and sparks,flames,sparks,Maeve stared at the flames and sparks that came from the fireplace.,Maeve stared at the sparks and flames that came from the fireplace.,NA,NA,NA,NA
435,flesh and skin,flesh,skin,Cory explained the difference between flesh and skin to his little brother.,Cory explained the difference between skin and flesh to his little brother.,NA,NA,NA,NA
436,flight and terror,flight,terror,Marissa argued that the words flight and terror go together because she hates flying.,Marissa argued that the words terror and flight go together because she hates flying.,NA,NA,NA,NA
437,flowers and hearts,flowers,hearts,Craig drew flowers and hearts on the card he was making for his mom.,Craig drew hearts and flowers on the card he was making for his mom.,NA,NA,NA,NA
438,flowers and herbs,flowers,herbs,Dan grew flowers and herbs in his own backyard.,Dan grew herbs and flowers in his own backyard.,NA,NA,NA,NA
439,flowers and plants,flowers,plants,All of the flowers and plants in the Arboretum made it a popular spot for walks.,All of the plants and flowers in the Arboretum made it a popular spot for walks.,NA,NA,NA,NA
440,flowers and zinnias,flowers,zinnias,"In the spring, Julie will plant flowers and zinnias in her new garden.","In the spring, Julie will plant zinnias and flowers in her new garden.",NA,NA,NA,NA
441,flowers and zinnias,flowers,zinnias,Sarah loved looking at the flowers and zinnias in the park.,Sarah loved looking at the zinnias and flowers in the park.,NA,NA,NA,NA
442,flowers and zinnias,flowers,zinnias,"While walking my dog, I admired the flowers and zinnias lining the gardens in the neighborhood.","While walking my dog, I admired the zinnias and flowers lining the gardens in the neighborhood.",NA,NA,NA,NA
443,fog and mist,fog,mist,All of the fog and mist made Terry want to stay inside the house all day.,All of the mist and fog made Terry want to stay inside the house all day.,NA,NA,NA,NA
444,folklore and legend,folklore,legend,Mandy read about the folklore and legend surrounding King Arthur in her new book.,Mandy read about the legend and folklore surrounding King Arthur in her new book.,NA,NA,NA,NA
445,food and shelter,food,shelter,The stray dog searched for food and shelter while running through the streets.,The stray dog searched for shelter and food while running through the streets.,NA,NA,NA,NA
446,force and violence,force,violence,They didn't like how he used force and violence to get his way.,They didn't like how he used violence and force to get his way.,NA,NA,NA,NA
447,foreboding and gloom,foreboding,gloom,There was a sense of foreboding and gloom that made Carrie feel anxious.,There was a sense of gloom and foreboding that made Carrie feel anxious.,NA,NA,NA,NA
448,forefinger and thumb,forefinger,thumb,The ability to use the forefinger and thumb are very important evolutionary traits that differentiate humans from apes.,The ability to use the thumb and forefinger are very important evolutionary traits that differentiate humans from apes.,NA,NA,NA,NA
449,fork and knife,fork,knife,Many children find eating with a fork and knife to be a difficult skill to learn.,Many children find eating with a knife and fork to be a difficult skill to learn.,NA,NA,NA,NA
450,fork and knife,fork,knife,Not all cultures use a fork and knife as their main utensils.,Not all cultures use a knife and fork as their main utensils.,NA,NA,NA,NA
451,fork and knife,fork,knife,The man was embarassed to learn that he had been holding his fork and knife wrong for years.,The man was embarassed to learn that he had been holding his knife and fork wrong for years.,NA,NA,NA,NA
452,fork and spoon,fork,spoon,Tara needed both a fork and spoon to properly eat her meal.,Tara needed both a spoon and fork to properly eat her meal.,NA,NA,NA,NA
453,forms and materials,forms,materials,Lee didn't have the necessary forms and materials to move forward with the task.,Lee didn't have the necessary materials and forms to move forward with the task.,NA,NA,NA,NA
454,fragrance and taste,fragrance,taste,"She wanted to like the smoothie, but the fragrance and taste made her feel sick.","She wanted to like the smoothie, but the taste and fragrance made her feel sick.",NA,NA,NA,NA
455,freedom and security,freedom,security,Mary searched for freedom and security in her next job opportunity.,Mary searched for security and freedom in her next job opportunity.,NA,NA,NA,NA
456,friends and partners,friends,partners,Josh and Jack had been friends and partners for almost ten years.,Josh and Jack had been partners and friends for almost ten years.,NA,NA,NA,NA
457,friends and relations,friends,relations,Ciara had many friends and relations so she was rarely lonely.,Ciara had many relations and friends so she was rarely lonely.,NA,NA,NA,NA
458,fruit and nuts,fruit,nuts,All he had in his kitchen was fruit and nuts so he made a trip to the grocery store.,All he had in his kitchen was nuts and fruit so he made a trip to the grocery store.,NA,NA,NA,NA
459,fruits and vegetables,fruits,vegetables,"Growing up, Paul ate his fruits and vegetables everyday in order to be healthy.","Growing up, Paul ate his vegetables and fruits everyday in order to be healthy.",NA,NA,NA,NA
460,fulfillment and pleasure,fulfillment,pleasure,Her job gave her fulfillment and pleasure along with a satisfactory salary.,Her job gave her pleasure and fulfillment along with a satisfactory salary.,NA,NA,NA,NA
461,fun and games,fun,games,Sally promised that there would be fun and games at her birthday party.,Sally promised that there would be games and fun at her birthday party.,NA,NA,NA,NA
462,fun and pleasure,fun,pleasure,All of the fun and pleasure that came with traveling made the cost worth it.,All of the pleasure and fun that came with traveling made the cost worth it.,NA,NA,NA,NA
463,funnels and masts,funnels,masts,They noticed that the funnels and masts on the ship were broken.,They noticed that the masts and funnels on the ship were broken.,NA,NA,NA,NA
464,fury and pain,fury,pain,Wendy felt fury and pain when she learned that her uncle had died.,Wendy felt pain and fury when she learned that her uncle had died.,NA,NA,NA,NA
465,future and past,future,past,Jazmin wanted to talk about the future and past of the company she was interviewing for.,Jazmin wanted to talk about the past and future of the company she was interviewing for.,NA,NA,NA,NA
466,gaiety and spirit,gaiety,spirit,He admired her gaiety and spirit and enjoyed spending time with her.,He admired her spirit and gaiety and enjoyed spending time with her.,NA,NA,NA,NA
467,gambling and vice,gambling,vice,Christine joked that the words gambling and vice should be considered synonyms.,Christine joked that the words vice and gambling should be considered synonyms.,NA,NA,NA,NA
468,games and races,games,races,All of the games and races kept Troy very entertained.,All of the races and games kept Troy very entertained.,NA,NA,NA,NA
469,gardens and lawn,gardens,lawn,He makes sure to water the gardens and lawn of the estate every other day.,He makes sure to water the lawn and gardens of the estate every other day.,NA,NA,NA,NA
470,gas and light,gas,light,Ted found out that the gas and light in his kitchen were not working.,Ted found out that the light and gas in his kitchen were not working.,NA,NA,NA,NA
471,gas and oil,gas,oil,"Sam had just bought a new car and didn't know the difference between gas and oil, so she ruined her car.","Sam had just bought a new car and didn't know the difference between oil and gas, so she ruined her car.",NA,NA,NA,NA
472,gelatin and lard,gelatin,lard,"As a vegetarian, gelatin and lard are difficult to avoid.","As a vegetarian, lard and gelatin are difficult to avoid.",NA,NA,NA,NA
473,gelatin and lard,gelatin,lard,"My friend complained that the dessert tasted like gelatin and lard in a bowl, but ate it all anyway.","My friend complained that the dessert tasted like lard and gelatin in a bowl, but ate it all anyway.",NA,NA,NA,NA
474,gelatin and lard,gelatin,lard,The picky toddler refused to eat anything with gelatin and lard in it.,The picky toddler refused to eat anything with lard and gelatin in it.,NA,NA,NA,NA
475,generalists and specialists,generalists,specialists,Martin wanted to talk with both generalists and specialists before making his decision.,Martin wanted to talk with both specialists and generalists before making his decision.,NA,NA,NA,NA
476,gentlemen and ladies,gentlemen,ladies,The hostess in the venue lead the gentlemen and ladies to their respective tables at the wedding banquet.,The hostess in the venue lead the ladies and gentlemen to their respective tables at the wedding banquet.,NA,NA,NA,NA
477,gentleness and sweetness,gentleness,sweetness,The dog's gentleness and sweetness made her loved by anyone who spent time with her.,The dog's sweetness and gentleness made her loved by anyone who spent time with her.,NA,NA,NA,NA
478,gin and tonic,gin,tonic,"After a long day of work, he had a gin and tonic to unwind and celebrate the weekend.","After a long day of work, he had a tonic and gin to unwind and celebrate the weekend.",NA,NA,NA,NA
479,glass and rubber,glass,rubber,Trisha made a statue out of glass and rubber for her friend's birthday.,Trisha made a statue out of rubber and glass for her friend's birthday.,NA,NA,NA,NA
480,glass and steel,glass,steel,The architect wanted the building to have a lot of glass and steel to make it look sleek and modern.,The architect wanted the building to have a lot of steel and glass to make it look sleek and modern.,NA,NA,NA,NA
481,god and man,god,man,The friends had a discussion about the relationship between god and man after school last week.,The friends had a discussion about the relationship between man and god after school last week.,NA,NA,NA,NA
482,gold and silver,gold,silver,Dave gave his wife a beautiful gold and silver bracelet for her birthday.,Dave gave his wife a beautiful silver and gold bracelet for her birthday.,NA,NA,NA,NA
483,gold and silver,gold,silver,Keith marveled at the gold and silver decorations on the walls of the palace.,Keith marveled at the silver and gold decorations on the walls of the palace.,NA,NA,NA,NA
484,gold and silver,gold,silver,Society has moved past directly using gold and silver as currency.,Society has moved past directly using silver and gold as currency.,NA,NA,NA,NA
485,goods and services,goods,services,The village people would not trade goods and services for money because they don't use currency.,The village people would not trade services and goods for money because they don't use currency.,NA,NA,NA,NA
486,grace and modesty,grace,modesty,Chloe's grandma said that grace and modesty are qualities a person should have.,Chloe's grandma said that modesty and grace are qualities a person should have.,NA,NA,NA,NA
487,grains and seeds,grains,seeds,Victoria liked her bread to have a variety of grains and seeds in it because she hated plain foods.,Victoria liked her bread to have a variety of seeds and grains in it because she hated plain foods.,NA,NA,NA,NA
488,grapefruit and oranges,grapefruit,oranges,Kyle liked to keep grapefruit and oranges in a bowl on his kitchen counter.,Kyle liked to keep oranges and grapefruit in a bowl on his kitchen counter.,NA,NA,NA,NA
489,gratitude and joy,gratitude,joy,David felt gratitude and joy when his kids made him breakfast in bed.,David felt joy and gratitude when his kids made him breakfast in bed.,NA,NA,NA,NA
490,grease and sweat,grease,sweat,"At the end of the day, Fred washed the grease and sweat off of his face.","At the end of the day, Fred washed the sweat and grease off of his face.",NA,NA,NA,NA
491,groundskeeper and superintendent,groundskeeper,superintendent,Laura had to interview many people for the groundskeeper and superintendent positions before she found good candidates.,Laura had to interview many people for the superintendent and groundskeeper positions before she found good candidates.,NA,NA,NA,NA
492,groundskeeper and superintendent,groundskeeper,superintendent,Laura heard that the school's groundskeeper and superintendent got married over the summer.,Laura heard that the school's superintendent and groundskeeper got married over the summer.,NA,NA,NA,NA
493,groundskeeper and superintendent,groundskeeper,superintendent,"The scandal got most of the staff fired, leaving only the groundskeeper and superintendent at the school in the end.","The scandal got most of the staff fired, leaving only the superintendent and groundskeeper at the school in the end.",NA,NA,NA,NA
494,groups and individuals,groups,individuals,Differentiating between groups and individuals became increasingly difficult as the crowd grew larger.,Differentiating between individuals and groups became increasingly difficult as the crowd grew larger.,NA,NA,NA,NA
495,guidance and information,guidance,information,She got a lot of guidance and information from her older sister about the college admissions process.,She got a lot of information and guidance from her older sister about the college admissions process.,NA,NA,NA,NA
496,gums and teeth,gums,teeth,You should take care of your gums and teeth in order to have optimal dental hygiene.,You should take care of your teeth and gums in order to have optimal dental hygiene.,NA,NA,NA,NA
497,habits and movements,habits,movements,He kept track of his dog's habits and movements because the vet told him to.,He kept track of his dog's movements and habits because the vet told him to.,NA,NA,NA,NA
498,hair and skin,hair,skin,The doctor recommended hair and skin supplements to some of her patients.,The doctor recommended skin and hair supplements to some of her patients.,NA,NA,NA,NA
499,hallucinations and visions,hallucinations,visions,The man experienced hallucinations and visions when he was severely dehydrated.,The man experienced visions and hallucinations when he was severely dehydrated.,NA,NA,NA,NA
500,hands and knees,hands,knees,Chris had to get on his hands and knees to look for the button that fell off his shirt.,Chris had to get on his knees and hands to look for the button that fell off his shirt.,NA,NA,NA,NA
501,happily and rudely,happily,rudely,His mother didn't hear when Nate happily and rudely told his sister to shut up.,His mother didn't hear when Nate rudely and happily told his sister to shut up.,NA,NA,NA,NA
502,happily and rudely,happily,rudely,Joe hated his boss since he was always happily and rudely telling people off.,Joe hated his boss since he was always rudely and happily telling people off.,NA,NA,NA,NA
503,happily and rudely,happily,rudely,The child happily and rudely asked the woman when she was having a baby.,The child rudely and happily asked the woman when she was having a baby.,NA,NA,NA,NA
504,happiness and laughter,happiness,laughter,"When you are with the one you love, happiness and laughter should be common occurences.","When you are with the one you love, laughter and happiness should be common occurences.",NA,NA,NA,NA
505,happiness and pain,happiness,pain,"Ed feels happiness and pain when drinking milk because he loves the taste, but is lactose intolerant.","Ed feels pain and happiness when drinking milk because he loves the taste, but is lactose intolerant.",NA,NA,NA,NA
